,Team_A_Cars, Team_A_Revenue ,Team_B_Cars, Team_B_Revenue ,Team_C_Cars, Team_C_Revenue ,Team_D_Cars, Team_D_Revenue ,,,,
61,91," $9,555.00 ",78," $8,190.00 ",64," $6,720.00 ",86," $9,030.00 ",,,,
62,90," $9,450.00 ",76," $7,980.00 ",65," $6,825.00 ",86," $9,030.00 ",,,,
63,90," $9,450.00 ",79," $8,295.00 ",66," $6,930.00 ",85," $8,925.00 ",,,,
64,90," $9,450.00 ",80," $8,400.00 ",68," $7,140.00 ",86," $9,030.00 ",,,,
65,90," $9,450.00 ",78," $8,190.00 ",67," $7,035.00 ",85," $8,925.00 ",,,,
66,90," $9,450.00 ",80," $8,400.00 ",67," $7,035.00 ",85," $8,925.00 ",,,,
67,91," $9,555.00 ",78," $8,190.00 ",64," $6,720.00 ",85," $8,925.00 ",,,,
68,90," $9,450.00 ",78," $8,190.00 ",65," $6,825.00 ",86," $9,030.00 ",,,,
69,91," $9,555.00 ",78," $8,190.00 ",65," $6,825.00 ",85," $8,925.00 ",,,,
70,91," $9,555.00 ",78," $8,190.00 ",66," $6,930.00 ",86," $9,030.00 ",,,,
71,91," $9,555.00 ",78," $8,190.00 ",65," $6,825.00 ",85," $8,925.00 ",,,,
72,90," $9,450.00 ",77," $8,085.00 ",64," $6,720.00 ",85," $8,925.00 ",,,,
73,90," $9,450.00 ",79," $8,295.00 ",69," $7,245.00 ",85," $8,925.00 ",,,,
74,91," $9,555.00 ",78," $8,190.00 ",66," $6,930.00 ",85," $8,925.00 ",,,,
75,90," $9,450.00 ",77," $8,085.00 ",66," $6,930.00 ",85," $8,925.00 ",,,,
76,90," $9,450.00 ",79," $8,295.00 ",66," $6,930.00 ",85," $8,925.00 ",,,,
77,90," $9,450.00 ",79," $8,295.00 ",66," $6,930.00 ",85," $8,925.00 ",,,,
78,91," $9,555.00 ",77," $8,085.00 ",68," $7,140.00 ",86," $9,030.00 ",,,,
79,90," $9,450.00 ",78," $8,190.00 ",67," $7,035.00 ",84," $8,820.00 ",,,,
80,90," $9,450.00 ",76," $7,980.00 ",66," $6,930.00 ",85," $8,925.00 ",,,,
81,91," $9,555.00 ",79," $8,295.00 ",68," $7,140.00 ",85," $8,925.00 ",,,,
82,90," $9,450.00 ",77," $8,085.00 ",65," $6,825.00 ",86," $9,030.00 ",,,,
83,91," $9,555.00 ",77," $8,085.00 ",65," $6,825.00 ",85," $8,925.00 ",,,,
84,91," $9,555.00 ",76," $7,980.00 ",64," $6,720.00 ",86," $9,030.00 ",,,,
85,91," $9,555.00 ",78," $8,190.00 ",67," $7,035.00 ",85," $8,925.00 ",,,,
